date,provider,game,row_count,requests,impressions,clicks,revenue
2020-05-17,ironsource,android_battleroyale,1489,0,35668,7066,39.069999692961574
2020-05-17,facebook,android_flightpilot,2356,3572136,32705,882,364.88769711695204
2020-05-17,facebook,android_sniper3d,4125,169041883,826614,10676,1898.7591762697848
2020-05-17,tiktok,battleroyale,6,0,8346,735,81.79999923706055
2020-05-17,inmobi,ninjarunfree,42,3423,54,6,0.0360000014770776
2020-05-17,mopub,android_flightpilot,376,235218,149,10,0.03693269978975877
2020-05-17,admob,ninjarunfree,643,170439,2967,249,32.72775924927555
2020-05-17,applovin,sniper3d,496,0,100307,27454,1005.759999057278
2020-05-17,inmobi,android_sniper3d,53,1652,1,0,0.0
2020-05-17,vungle,sniper3d,1181,0,394641,275057,5370.860005084425
2020-05-17,admob,battleroyale,897,3614213,9394,209,225.45586419757456
2020-05-17,facebook,battletanksbeta,1437,1217800,11726,212,215.67260988103226
2020-05-17,adcolony,android_sniper3d,16,57,42,2,0.026366000704001635
2020-05-17,adcolony,flightpilot,133,1394,1388,412,6.089028997841524
2020-05-17,facebook,android_battleroyale,2658,9578100,50590,595,384.05948328120576
2020-05-17,unityads,flightpilot,664,66705,24216,0,114.92999946512282
2020-05-17,unityads,android_battletanksbeta,449,1307223,319151,0,324.2399998269975
2020-05-17,applovin,battletanksbeta,219,0,5914,1088,28.04999998398125
2020-05-17,unityads,ninjarunfree,295,23124,3448,0,4.869999967515469
2020-05-17,admob,android_flightpilot,1565,3666205,94512,2515,743.4796290555933
2020-05-17,applovin,android_battleroyale,222,0,3298,1425,17.119999894872308
2020-05-17,unityads,sniper3d,2409,3208809,1344889,0,6461.059986256063
2020-05-17,facebook,ninjarunfree,823,115342,4035,189,34.636603716760874
2020-05-17,mintegral,ninjarunfree,607,135351,4003,2788,39.7599991671741
2020-05-17,tiktok,flightpilot,4,0,9,1,0.0
2020-05-17,chartboost,android_flightpilot,314,0,7977,530,4.0303975635251845
2020-05-17,facebook,android_battletanksbeta,598,4251693,12993,211,172.75125253247097
2020-05-17,chartboost,flightpilot,41,0,268,29,0.1698043403448537
2020-05-17,unityads,battleroyale,639,983403,85892,0,399.0099989864975
2020-05-17,ironsource,android_flightpilot,1959,0,76430,22229,75.16000018455088
2020-05-17,applovin,battleroyale,103,0,2693,834,41.14000012725592
2020-05-17,mopub,sniper3d,1354,21942952,161523,23623,1057.9542200455908
2020-05-17,applovin,android_flightpilot,689,0,75323,32379,198.71999916248024
2020-05-17,tiktok,sniper3d,68,0,608690,22012,5094.899983838201
2020-05-17,facebook,flightpilot,1499,46583,7592,193,69.32346216967562
2020-05-17,vungle,battleroyale,37,0,0,0,0.0
2020-05-17,adcolony,sniper3d,27,167,127,4,0.004250000056345016
2020-05-17,chartboost,sniper3d,831,0,275674,212,2838.430518563735
2020-05-17,applovin,flightpilot,252,0,8208,2993,53.489999981597066
2020-05-17,mopub,android_sniper3d,1326,69782969,407078,56357,1353.3820844812435
2020-05-17,vungle,android_flightpilot,625,0,335,134,0.009999999776482582
2020-05-17,ironsource,flightpilot,1292,0,7521,1727,50.129999773576856
2020-05-17,ironsource,sniper3d,3188,0,212502,50084,1947.03997817263
2020-05-17,scalemonk,flightpilot,1,"",10,"",0.03754999861121178
2020-05-17,ironsource,android_battletanksbeta,557,0,3007,736,16.16000005044043
2020-05-17,ironsource,battleroyale,1504,0,15319,5008,141.01999926008284
2020-05-17,vungle,android_sniper3d,1499,0,1973103,607676,4033.510012485087
2020-05-17,admob,sniper3d,1345,36340305,300732,5341,4564.662792696152
2020-05-17,ironsource,ninjarunfree,1761,0,5249,1920,55.7100001629442
